tipo	idade	sexo	civil	valor	expos	nsinist
sedan	77	M	Casado	23.944	0.76	0
hatch	60	M	Casado	28.776	0.03	0
hatch	76	F	Casado	24.12	0.81	0
suv	49	F	Casado	52.478	0.82	1
picape	60	M	Casado	83.165	0.79	0
hatch	43	F	Casado	13.654	0.8	0
sedan	49	M	Casado	31.239	0.1	0
sedan	71	M	Casado	88.72	0.77	1
hatch	34	M	Solteiro	44.556	0.81	0
hatch	73	M	Casado	80.523	0.81	0
suv	62	F	Divorciado	62.436	0.24	0
sedan	69	M	Casado	44.243	0.05	0
picape	56	M	Casado	34.477	0.77	0
hatch	53	M	Casado	60.748	0.29	0
